2025-07-03T17:27:26.373+02:00  INFO 27044 --- [HospitalManagmet] [main] c.e.H.HospitalManagmentApplication       : Starting HospitalManagmentApplication using Java 17.0.12 with PID 27044 (C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes started by User in C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment)
2025-07-03T17:27:26.376+02:00 DEBUG 27044 --- [HospitalManagmet] [main] c.e.H.HospitalManagmentApplication       : Running with Spring Boot v3.3.4, Spring v6.1.13
2025-07-03T17:27:26.380+02:00  INFO 27044 --- [HospitalManagmet] [main] c.e.H.HospitalManagmentApplication       : No active profile set, falling back to 1 default profile: "default"
2025-07-03T17:27:26.383+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.boot.SpringApplication               : Loading source class com.example.HospitalManagment.HospitalManagmentApplication
2025-07-03T17:27:26.465+02:00 DEBUG 27044 --- [HospitalManagmet] [main] ConfigServletWebServerApplicationContext : Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@29a5f4e7
2025-07-03T17:27:26.505+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2025-07-03T17:27:26.526+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
2025-07-03T17:27:26.620+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\config\tenant\AsyncConfig.class]
2025-07-03T17:27:26.623+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\config\tenant\TenantInterceptor.class]
2025-07-03T17:27:26.628+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\config\WebConfiguration.class]
2025-07-03T17:27:26.643+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\controller\AppointmentController.class]
2025-07-03T17:27:26.647+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\controller\CityController.class]
2025-07-03T17:27:26.648+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\controller\DepartamentController.class]
2025-07-03T17:27:26.650+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\controller\DiagnosisController.class]
2025-07-03T17:27:26.652+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\controller\DoctorController.class]
2025-07-03T17:27:26.653+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\controller\EmailController.class]
2025-07-03T17:27:26.655+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\controller\FeedBackController.class]
2025-07-03T17:27:26.657+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\controller\InventoryController.class]
2025-07-03T17:27:26.659+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\controller\InventoryRequestController.class]
2025-07-03T17:27:26.661+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\controller\NurseController.class]
2025-07-03T17:27:26.685+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\controller\PatientController.class]
2025-07-03T17:27:26.686+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\controller\RoomController.class]
2025-07-03T17:27:26.689+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\controller\UserController.class]
2025-07-03T17:27:26.691+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\controller\VacationController.class]
2025-07-03T17:27:26.751+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\exception\GlobalExceptionHandler.class]
2025-07-03T17:27:26.760+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\repository\NativeQueryRepository.class]
2025-07-03T17:27:26.767+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\security\auth\AuthenticationController.class]
2025-07-03T17:27:26.770+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\security\auth\AuthenticationService.class]
2025-07-03T17:27:26.773+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\security\config\ApplicationConfig.class]
2025-07-03T17:27:26.774+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\security\config\JwtAuthenticationEntryPoint.class]
2025-07-03T17:27:26.776+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\security\config\JwtAuthenticationFilter.class]
2025-07-03T17:27:26.782+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\security\config\SecurityConfiguration.class]
2025-07-03T17:27:26.783+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\security\service\JwtService.class]
2025-07-03T17:27:26.785+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\service\AppointmentService.class]
2025-07-03T17:27:26.787+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\service\CityService.class]
2025-07-03T17:27:26.788+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\service\DepartamentService.class]
2025-07-03T17:27:26.789+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\service\DiagnosisService.class]
2025-07-03T17:27:26.791+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\service\DoctorService.class]
2025-07-03T17:27:26.792+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\service\EmailService.class]
2025-07-03T17:27:26.793+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\service\FeedBackService.class]
2025-07-03T17:27:26.794+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\service\InventoryRequestService.class]
2025-07-03T17:27:26.796+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\service\InventoryService.class]
2025-07-03T17:27:26.797+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\service\NurseService.class]
2025-07-03T17:27:26.799+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\service\PatientService.class]
2025-07-03T17:27:26.800+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\service\RoomService.class]
2025-07-03T17:27:26.802+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\service\UserService.class]
2025-07-03T17:27:26.803+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\service\VacationService.class]
2025-07-03T17:27:26.804+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\util\TemplateUtil.class]
2025-07-03T17:27:27.296+02:00  INFO 27044 --- [HospitalManagmet] [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-07-03T17:27:27.303+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.AutoConfigurationPackages'
2025-07-03T17:27:27.309+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.b.a.AutoConfigurationPackages        : @EnableAutoConfiguration was declared on a class in the package 'com.example.HospitalManagment'. Automatic @Repository and @Entity scanning is enabled.
2025-07-03T17:27:27.310+02:00 DEBUG 27044 --- [HospitalManagmet] [main] .s.d.r.c.RepositoryConfigurationDelegate : Scanning for JPA repositories in packages com.example.HospitalManagment.
2025-07-03T17:27:27.335+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\repository\AppointmentRepository.class]
2025-07-03T17:27:27.336+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\repository\CityRepository.class]
2025-07-03T17:27:27.336+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\repository\DepartamentRepository.class]
2025-07-03T17:27:27.337+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\repository\DiagnosisRepository.class]
2025-07-03T17:27:27.337+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\repository\DoctorRepository.class]
2025-07-03T17:27:27.337+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\repository\FeedBackRepository.class]
2025-07-03T17:27:27.338+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\repository\InventoryRepository.class]
2025-07-03T17:27:27.338+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\repository\InventoryRequestRepository.class]
2025-07-03T17:27:27.338+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\repository\NurseRepository.class]
2025-07-03T17:27:27.339+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\repository\PatientRepository.class]
2025-07-03T17:27:27.339+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\repository\RoleRepository.class]
2025-07-03T17:27:27.339+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\repository\RoomRepository.class]
2025-07-03T17:27:27.340+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\repository\UserRepository.class]
2025-07-03T17:27:27.340+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [C:\Users\User\OneDrive\Desktop\LABIIIIIIII 2 (cLONE)\HospitalManagament-api\HospitalManagment\target\classes\com\example\HospitalManagment\repository\VacationRepository.class]
2025-07-03T17:27:27.419+02:00  INFO 27044 --- [HospitalManagmet] [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 106 ms. Found 14 JPA repository interfaces.
2025-07-03T17:27:27.503+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'springSecurityHandlerMappingIntrospectorBeanDefinitionRegistryPostProcessor'
2025-07-03T17:27:27.599+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'propertySourcesPlaceholderConfigurer'
2025-07-03T17:27:27.604+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'emBeanDefinitionRegistrarPostProcessor'
2025-07-03T17:27:27.605+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.sql.init.dependency.DatabaseInitializationDependencyConfigurer$DependsOnDatabaseInitializationPostProcessor'
2025-07-03T17:27:27.639+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerProcessor'
2025-07-03T17:27:27.640+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'conversionServicePostProcessor'
2025-07-03T17:27:27.653+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'preserveErrorControllerTargetClassPostProcessor'
2025-07-03T17:27:27.654+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerFactory'
2025-07-03T17:27:27.654+02:00 DEBUG 27044 --- [HospitalManagmet] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.transaction.config.internalTransactionalEventListenerFactory'
